sample,variation,fiducial_xs_norm,inclusive_xs_norm,ratio_ttB_varied_vs_nom_5FS,ratio_ttC_varied_vs_nom_5FS,ratio_ttLF_varied_vs_nom_5FS,ratio_ttB_5FS_vs_this_varied,final_weight_sl_analysis,fiducial_xs_norm_TTH_PTH_0_60,fiducial_xs_norm_TTH_PTH_60_120,fiducial_xs_norm_TTH_PTH_120_200,fiducial_xs_norm_TTH_PTH_200_300,fiducial_xs_norm_TTH_PTH_GT300
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306078,0.994679186287,0.994679186287,-1.0,-1.0,-1.0,-1.0,0.994679186287,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306079,0.994567024599,0.994567024599,-1.0,-1.0,-1.0,-1.0,0.994567024599,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306080,0.99472619735,0.99472619735,-1.0,-1.0,-1.0,-1.0,0.99472619735,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306081,0.9946273247490001,0.9946273247490001,-1.0,-1.0,-1.0,-1.0,0.9946273247490001,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306082,0.994512213225,0.994512213225,-1.0,-1.0,-1.0,-1.0,0.994512213225,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306083,0.9947066639100001,0.9947066639100001,-1.0,-1.0,-1.0,-1.0,0.9947066639100001,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306084,0.9946206920039999,0.9946206920039999,-1.0,-1.0,-1.0,-1.0,0.9946206920039999,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306085,0.9947990807070001,0.9947990807070001,-1.0,-1.0,-1.0,-1.0,0.9947990807070001,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306086,0.994725667456,0.994725667456,-1.0,-1.0,-1.0,-1.0,0.994725667456,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306087,0.9945613459880001,0.9945613459880001,-1.0,-1.0,-1.0,-1.0,0.9945613459880001,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306088,0.994682725342,0.994682725342,-1.0,-1.0,-1.0,-1.0,0.994682725342,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306089,0.9945998591590001,0.9945998591590001,-1.0,-1.0,-1.0,-1.0,0.9945998591590001,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306090,0.994718068681,0.994718068681,-1.0,-1.0,-1.0,-1.0,0.994718068681,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306091,0.994576514028,0.994576514028,-1.0,-1.0,-1.0,-1.0,0.994576514028,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306092,0.994647201806,0.994647201806,-1.0,-1.0,-1.0,-1.0,0.994647201806,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306093,0.9948303367419999,0.9948303367419999,-1.0,-1.0,-1.0,-1.0,0.9948303367419999,-1.0,-1.0,-1.0,-1.0,-1.0
